filename,mean_fst,weighted_fst,pop1,pop2
fst.59061277.log,-0.00405901,2.99E-05,Bamfield (Hi),Ucluelet
HG_SBA_R2_mindpop0.5_fst.log,0.0339818,0.057041,Haida Gwaii (Hi),Santa Barbara (AQ)
SD_SBA_R2_mindpop0.5_fst.log,-0.00196634,0.00406102,San Diego (AQ),Santa Barbara (AQ)
fst.59061305.log,0.00477332,0.0134832,Fort Bragg,Fort Bragg (AQ)
FbraggA_WH_R2_mindpop0.5_fst.log,0.00843649,0.0189737,Fort Bragg (AQ),Winter Harbor (Hi)
fst.59061296.log,0.0145187,0.0295858,Fort Bragg,Central BC (Hi)
WH_Baja_R2_mindpop0.5_fst.log,-0.00182288,0.00217257,Winter Harbor (Hi),Ensenada
fst.59061293.log,-0.0034322,0.0021867,Bamfield (Hi),San Diego (AQ)
Baja_SD_R2_mindpop0.5_fst.log,-0.00510248,0.00044874,Ensenada,San Diego (AQ)
Bamfield_SBA_R2_mindpop0.5_fst.log,0.00513673,0.00893211,Bamfield,Santa Barbara (AQ)
Bamfield_Hazard_R2_mindpop0.5_fst.log,0.00110897,0.00558507,Bamfield,Hazard Canyon
SB_Bamfield_R2_mindpop0.5_fst.log,-0.00626248,0.00670472,Santa Barbara,Bamfield
SD_Fbragg_R2_mindpop0.5_fst.log,-0.00302883,0.00238327,San Diego (AQ),Fort Bragg
Hazard_Central_R2_mindpop0.5_fst.log,0.0156257,0.0304998,Hazard Canyon,Central BC (Hi)
fst.59061490.log,0.00364276,0.0137438,Ensenada,Fort Bragg (AQ)
fst.59061314.log,0.0157276,0.0344182,Fort Bragg (AQ),Central BC (Hi)
Central_SBA_R2_mindpop0.5_fst.log,0.0145767,0.0304904,Central BC (Hi),Santa Barbara (AQ)
fst.59061401.log,0.00206952,0.0132899,Santa Barbara,Fort Bragg (AQ)
SB_WH_R2_mindpop0.5_fst.log,-0.00789301,0.00467409,Santa Barbara,Winter Harbor (Hi)
SBA_LA_R2_mindpop0.5_fst.log,0.00230283,0.00592481,Santa Barbara (AQ),LA (AQ)
fst.59061269.log,0.00141929,0.00746689,Bamfield,San Diego (AQ)
FbraggA_Hazard_R2_mindpop0.5_fst.log,0.00514206,0.0140596,Fort Bragg (AQ),Hazard Canyon
Hazard_Bamfield_R2_mindpop0.5_fst.log,0.00110897,0.00558507,Hazard Canyon,Bamfield
Hazard_SBA_R2_mindpop0.5_fst.log,-0.000839115,0.00365363,Hazard Canyon,Santa Barbara (AQ)
fst.59061181.log,0.0145187,0.0295858,Central BC (Hi),Fort Bragg
SD_HG_R2_mindpop0.5_fst.log,0.0344682,0.0543098,San Diego (AQ),Haida Gwaii (Hi)
fst.59061426.log,0.0333688,0.0549666,LA (AQ),Haida Gwaii (Hi)
fst.59061264.log,0.00110897,0.00558507,Bamfield,Hazard Canyon
fst.59061310.log,-0.000262107,0.00198289,Fort Bragg,LA (AQ)
fst.59061470.log,0.00141929,0.00746689,San Diego (AQ),Bamfield
SBA_Hazard_R2_mindpop0.5_fst.log,-0.000839115,0.00365363,Santa Barbara (AQ),Hazard Canyon
fst.59061316.log,0.00572189,0.0151971,Fort Bragg (AQ),Ucluelet
